name,handedness,height,weight,avg,HR,BMI
Denny Lemaster,R,73,182,0.13,4,24.00938262
Joe Nolan,L,71,175,0.263,27,24.40487998
Denny Doyle,L,69,175,0.25,16,25.84015963
Jose Cardenal,R,70,150,0.275,138,21.52040816
Mike Ryan,R,74,205,0.193,28,26.31756757
Fritz Peterson,B,72,185,0.159,2,25.08777006
Dick Bertell,R,72,200,0.25,10,27.12191358
Rod Kanehl,R,73,180,0.241,6,23.74554325
Juan Bonilla,R,69,170,0.256,7,25.10186936
Frank Tepedino,L,71,185,0.241,6,25.79944455
Rick Wise,R,73,180,0.195,15,23.74554325
Darrell Evans,L,74,200,0.248,414,25.67567568
Buck Martinez,R,70,190,0.225,58,27.25918367
John Wockenfuss,R,72,190,0.262,86,25.7658179
Tommy McCraw,L,72,183,0.246,75,24.81655093
Lee Lacy,R,73,175,0.286,91,23.08594483
Pete Rose,B,71,192,0.303,160,26.77563975
Danny Walton,R,72,195,0.223,28,26.44386574
Bobby Cox,R,71,180,0.225,9,25.10216227
Brad Wellman,R,72,170,0.231,6,23.05362654
Jeff Newman,R,74,215,0.224,63,27.60135135
Pedro Gonzalez,R,72,176,0.244,8,23.86728395
Tommie Reynolds,R,74,190,0.226,12,24.39189189
Gene Clines,R,69,170,0.277,5,25.10186936
Jim Hickman,R,75,192,0.252,159,23.99573333
Jack Billingham,R,76,195,0.111,0,23.73355263
Jerry Buchek,R,71,185,0.22,22,25.79944455
Ivan DeJesus,R,71,175,0.254,21,24.40487998
Gary Nolan,R,74,197,0.138,1,25.29054054
Fred Whitfield,L,73,190,0.253,108,25.0647401
Larry Dierker,R,76,215,0.136,4,26.16776316
Dave Skaggs,R,74,200,0.241,3,25.67567568
Dick Ruthven,R,75,190,0.183,1,23.74577778
Dave Kingman,R,78,210,0.236,442,24.265286
Eric Soderholm,R,71,187,0.264,102,26.07835747
Ed Brinkman,R,72,170,0.224,60,23.05362654
Wayne Garrett,L,71,175,0.239,61,24.40487998
Tony Muser,L,74,180,0.259,7,23.10810811
Ted Ford,R,70,180,0.219,17,25.8244898
Jim Lyttle,L,72,180,0.248,9,24.40972222
Scot Thompson,L,75,195,0.262,5,24.37066667
Gene Locklear,L,70,165,0.274,9,23.67244898
Bo Diaz,R,71,185,0.255,87,25.79944455
Bump Wills,B,69,172,0.266,36,25.39718547
Pat Putnam,L,72,205,0.255,63,27.79996142
Kurt Bevacqua,R,72,180,0.236,27,24.40972222
Syd O'Brien,R,73,185,0.23,24,24.40514168
Chris Chambliss,L,73,195,0.279,185,25.72433853
Tom Satriano,L,73,185,0.225,21,24.40514168
Jeffrey Leonard,R,74,200,0.266,144,25.67567568
Dal Maxvill,R,71,157,0.217,6,21.89466376
Cesar Tovar,R,69,155,0.278,46,22.88699853
Mickey Lolich,B,73,170,0.11,0,22.42634641
Jack Heidemann,R,72,175,0.211,9,23.73167438
Rich Rollins,R,70,185,0.269,77,26.54183673
Walt Bond,L,79,228,0.256,41,25.68242269
Merv Rettenmund,R,70,190,0.271,66,27.25918367
Byron Browne,R,74,190,0.236,30,24.39189189
Hector Torres,R,72,175,0.216,18,23.73167438
Walt Williams,R,66,165,0.27,33,26.62878788
Jerry Koosman,R,74,205,0.119,2,26.31756757
Steve Lombardozzi,R,72,175,0.233,20,23.73167438
Joe Azcue,R,72,190,0.252,50,25.7658179
Elliott Maddox,R,71,180,0.261,18,25.10216227
Omar Moreno,L,74,180,0.252,37,23.10810811
Julian Javier,R,73,175,0.257,78,23.08594483
Elio Chacon,R,69,160,0.232,4,23.6252888
Rusty Torres,B,70,175,0.212,35,25.10714286
John Stearns,R,72,185,0.26,46,25.08777006
Larry Brown,R,70,160,0.233,47,22.95510204
Tommy Dean,R,72,165,0.18,4,22.3755787
Marty Martinez,B,72,170,0.243,0,23.05362654
Bruce Boisclair,L,74,185,0.263,10,23.75
Ken Singleton,B,76,210,0.282,246,25.55921053
Frank White,R,71,165,0.255,160,23.01031541
Jim Fairey,L,70,190,0.235,7,27.25918367
Tom Brookens,R,70,165,0.246,71,23.67244898
Gary Thomasson,L,73,180,0.249,61,23.74554325
Otto Velez,R,72,170,0.251,78,23.05362654
Tony Scott,B,72,164,0.249,17,22.23996914
Ray Oyler,R,71,165,0.175,15,23.01031541
Floyd Robinson,L,69,175,0.283,67,25.84015963
Steve Jeltz,B,71,180,0.21,5,25.10216227
Lou Brock,L,71,170,0.293,149,23.7075977
Joe Lovitto,B,72,185,0.216,4,25.08777006
Wayne Comer,R,70,175,0.229,16,25.10714286
Dave Collins,B,71,175,0.272,32,24.40487998
Ed Spiezio,R,71,180,0.238,39,25.10216227
Rico Petrocelli,R,72,175,0.251,210,23.73167438
Johnny Lewis,L,73,189,0.227,22,24.93282042
Dick Simpson,R,76,176,0.207,15,21.42105263
Ken Boswell,L,72,170,0.248,31,23.05362654
Ken McMullen,R,75,190,0.248,156,23.74577778
Steve Swisher,R,74,205,0.216,20,26.31756757
Dick Howser,R,68,155,0.248,16,23.56509516
Manny Castillo,B,69,160,0.242,3,23.6252888
Mike Ramsey,B,73,170,0.24,2,22.42634641
Willie Crawford,L,73,197,0.268,86,25.98817789
Willie Norwood,R,72,185,0.242,18,25.08777006
Jeff Stone,L,72,175,0.277,11,23.73167438
Joe Lahoud,L,73,198,0.223,65,26.12009758
Tim Flannery,L,71,175,0.255,9,24.40487998
Dave McKay,B,73,195,0.229,21,25.72433853
Benny Ayala,R,73,185,0.251,38,24.40514168
Greg Gross,L,70,160,0.287,7,22.95510204
Sal Butera,R,72,190,0.227,8,25.7658179
Jack Brohamer,L,70,165,0.245,30,23.67244898
Von Joshua,L,70,170,0.273,30,24.38979592
Eddie Milner,L,71,173,0.253,42,24.12596707
Johnny Jeter,R,73,180,0.244,18,23.74554325
Angel Salazar,R,72,180,0.212,2,24.40972222
Tony Oliva,L,73,175,0.304,220,23.08594483
Cito Gaston,R,75,190,0.256,91,23.74577778
Cookie Rojas,R,70,160,0.263,54,22.95510204
Rich Morales,R,71,170,0.195,6,23.7075977
Dan Ford,R,73,185,0.27,121,24.40514168
Darryl Motley,R,69,196,0.243,44,28.94097879
Ozzie Virgil,R,73,180,0.243,98,23.74554325
Johnny Oates,L,71,188,0.25,14,26.21781393
Mike Phillips,L,72,170,0.24,11,23.05362654
Ron Santo,R,72,190,0.277,342,25.7658179
Jay Johnstone,L,73,175,0.267,102,23.08594483
Jim Ray Hart,R,71,185,0.278,170,25.79944455
Marc Hill,R,75,205,0.223,34,25.62044444
Chico Salmon,R,70,160,0.249,31,22.95510204
Joe Niekro,R,73,185,0.156,1,24.40514168
Andy Etchebarren,R,73,190,0.235,49,25.0647401
Ken Berry,R,72,175,0.255,58,23.73167438
Dave Concepcion,R,74,155,0.267,101,19.89864865
Junior Moore,R,71,185,0.264,7,25.79944455
Mike Richardt,R,72,170,0.226,4,23.05362654
Chris Brown,R,72,185,0.269,38,25.08777006
Al Bumbry,L,68,170,0.281,54,25.84558824
Al Downing,R,71,175,0.127,2,24.40487998
Bob Didier,B,72,190,0.229,0,25.7658179
Jake Gibbs,L,72,180,0.233,25,24.40972222
Garry Hancock,L,72,175,0.247,12,23.73167438
Ed Kranepool,L,75,205,0.261,118,25.62044444
Rick Rhoden,R,75,195,0.238,9,24.37066667
Denny McLain,R,73,185,0.133,1,24.40514168
Chuck Hiller,L,71,170,0.243,20,23.7075977
Jorge Orta,L,70,170,0.278,130,24.38979592
Dave Cash,R,71,170,0.283,21,23.7075977
Bucky Dent,R,69,170,0.247,40,25.10186936
Tony Gonzalez,L,69,170,0.286,103,25.10186936
Larry Haney,R,74,195,0.215,12,25.03378378
Billy Conigliaro,R,72,180,0.256,40,24.40972222
Gary Roenicke,R,75,205,0.247,121,25.62044444
Don Lock,R,74,195,0.238,122,25.03378378
Billy Cowan,R,72,170,0.236,40,23.05362654
Billy Smith,B,74,185,0.23,17,23.75
Tony Perez,R,74,175,0.279,379,22.46621622
Chuck Schilling,R,70,160,0.239,23,22.95510204
Hal McRae,R,71,180,0.29,191,25.10216227
Dave Roberts,R,75,215,0.239,49,26.87022222
Jim Lefebvre,B,72,180,0.251,74,24.40972222
Charlie Spikes,R,75,215,0.246,65,26.87022222
Steve Whitaker,L,72,180,0.23,24,24.40972222
Manny Jimenez,L,73,185,0.272,26,24.40514168
Duffy Dyer,R,72,187,0.221,30,25.3589892
Ken Henderson,B,74,180,0.257,122,23.10810811
Vern Fuller,R,73,170,0.232,14,22.42634641
Wayne Gross,L,74,210,0.233,121,26.95945946
Mike Champion,R,72,185,0.229,2,25.08777006
Paul Casanova,R,76,180,0.225,50,21.90789474
Steve Rogers,R,74,175,0.138,0,22.46621622
Terry Crowley,L,72,180,0.25,42,24.40972222
Horace Clarke,B,69,170,0.256,27,25.10186936
Lou Clinton,R,73,185,0.247,65,24.40514168
Larry Cox,R,70,178,0.221,12,25.53755102
Nate Colbert,R,74,190,0.243,173,24.39189189
Phil Roof,R,74,190,0.215,43,24.39189189
Chuck Hinton,R,73,180,0.264,113,23.74554325
Tim Cullen,R,73,185,0.22,9,24.40514168
Tim Harkness,L,74,182,0.235,14,23.36486486
Rick Bosetti,R,71,185,0.25,17,25.79944455
Ron Pruitt,R,72,185,0.269,12,25.08777006
George Foster,R,73,180,0.274,348,23.74554325
Jerry White,B,70,164,0.253,21,23.52897959
Angel Mangual,R,70,178,0.245,22,25.53755102
Ken Gerhart,R,72,190,0.221,24,25.7658179
Mike Hershberger,R,70,175,0.252,26,25.10714286
Jim French,L,68,180,0.196,5,27.36591696
Dave Roberts,L,75,195,0.194,7,24.37066667
Jim Mason,L,74,185,0.203,12,23.75
Willie Smith,L,72,182,0.248,46,24.68094136
Jose Arcia,R,75,170,0.215,1,21.24622222
Leon Durham,L,73,185,0.277,147,24.40514168
Paul Householder,B,72,180,0.236,29,24.40972222
Aurelio Rodriguez,R,70,180,0.237,124,25.8244898
Jimmy Stewart,B,72,165,0.237,8,22.3755787
Dick Phillips,L,72,180,0.229,12,24.40972222
Andres Thomas,R,73,170,0.234,42,22.42634641
Ed Crosby,L,74,175,0.22,0,22.46621622
Mike de la Hoz,R,71,175,0.251,25,24.40487998
Frank Taveras,R,72,155,0.255,2,21.01948302
Joe Nossek,R,72,178,0.228,3,24.13850309
Larry Stahl,L,72,175,0.232,36,23.73167438
Jose Cruz,L,72,170,0.284,165,23.05362654
Don Mason,L,71,160,0.205,3,22.31303313
Bill Robinson,R,74,189,0.258,166,24.26351351
Sal Bando,R,72,195,0.254,242,26.44386574
George Mitterwald,R,74,195,0.236,76,25.03378378
Craig Robinson,R,70,165,0.219,0,23.67244898
Bob Tillman,R,76,205,0.232,79,24.95065789
Pat Corrales,R,72,180,0.216,4,24.40972222
Mike Tyson,R,69,170,0.241,27,25.10186936
Rafael Landestoy,B,70,165,0.237,4,23.67244898
Duane Josephson,R,72,190,0.258,23,25.7658179
Duane Walker,L,72,185,0.229,24,25.08777006
Glenn Hubbard,R,69,150,0.244,70,22.14870825
Roger Freed,R,72,190,0.245,22,25.7658179
George Hendrick,R,75,195,0.278,267,24.37066667
Rod Carew,L,72,170,0.328,92,23.05362654
Bob Davis,R,72,180,0.197,6,24.40972222
Toby Harrah,R,72,175,0.264,195,23.73167438
Rick Manning,L,73,180,0.257,56,23.74554325
Gary Matthews,R,74,185,0.281,234,23.75
Cesar Geronimo,L,72,165,0.258,51,22.3755787
Billy Bryan,L,76,200,0.216,41,24.34210526
Terry Whitfield,L,73,197,0.281,33,25.98817789
Mario Mendoza,R,71,170,0.215,4,23.7075977
Fred Lynn,L,73,185,0.283,306,24.40514168
Larry Hisle,R,74,193,0.273,166,24.77702703
Graig Nettles,L,72,180,0.248,390,24.40972222
Dave Engle,R,75,210,0.262,31,26.24533333
Mike Easler,L,72,190,0.293,118,25.7658179
Rick Sweet,B,73,200,0.234,6,26.38393695
Thurman Munson,R,71,190,0.292,113,26.49672684
Rick Monday,L,75,193,0.264,241,24.12071111
Mike Sadek,R,69,165,0.226,5,24.36357908
Mark Belanger,R,73,170,0.228,20,22.42634641
Ron Hunt,R,72,186,0.273,39,25.22337963
Joe Keough,L,72,185,0.246,9,25.08777006
Vic Correll,R,70,185,0.229,29,26.54183673
Jackie Hernandez,R,71,165,0.208,12,23.01031541
Tony Solaita,L,72,210,0.255,50,28.47800926
U L Washington,B,71,175,0.251,27,24.40487998
Joe Foy,R,72,215,0.248,58,29.1560571
Ed Goodson,L,75,180,0.26,30,22.496
Mickey Klutts,R,71,170,0.241,14,23.7075977
Leroy Stanton,R,73,195,0.244,77,25.72433853
Danny Ainge,R,76,175,0.22,2,21.29934211
Adolfo Phillips,R,73,175,0.247,59,23.08594483
Marv Breeding,R,72,175,0.25,7,23.73167438
Dick McAuliffe,L,71,176,0.247,197,24.54433644
Joe Horlen,R,72,170,0.134,0,23.05362654
Glenn Burke,R,72,195,0.237,2,26.44386574
Terry Humphrey,R,75,185,0.211,6,23.12088889
Enzo Hernandez,R,68,155,0.224,2,23.56509516
Cesar Gutierrez,R,69,155,0.235,0,22.88699853
Coco Laboy,R,70,165,0.233,28,23.67244898
Ted Kubiak,B,72,175,0.231,13,23.73167438
Jim Morrison,R,71,175,0.26,112,24.40487998
Bobby Knoop,R,73,170,0.236,56,22.42634641
Bobby Brown,B,74,190,0.245,26,24.39189189
Tom Hutton,L,71,180,0.248,22,25.10216227
Ron Hodges,L,73,185,0.24,19,24.40514168
Rich Chiles,L,71,170,0.254,6,23.7075977
Tom Paciorek,R,76,215,0.282,86,26.16776316
Gary Woods,R,74,185,0.243,13,23.75
Bob Montgomery,R,73,195,0.258,23,25.72433853
Jeff Burroughs,R,73,200,0.261,240,26.38393695
Rusty Staub,L,74,190,0.279,292,24.39189189
Jim Norris,L,70,175,0.264,7,25.10714286
Oscar Gamble,L,71,160,0.265,200,22.31303313
George Vukovich,L,72,198,0.268,27,26.85069444
Craig Reynolds,L,73,175,0.256,42,23.08594483
Paul Blair,R,72,168,0.25,134,22.78240741
Al Cowens,R,73,197,0.27,108,25.98817789
Al Oliver,L,72,195,0.303,219,26.44386574
Dave Hilton,R,71,191,0.213,6,26.6361833
Luis Alvarado,R,69,162,0.214,5,23.92060491
Larry Parrish,R,75,190,0.263,256,23.74577778
Woodie Fryman,R,75,197,0.138,2,24.62062222
Bob Randall,R,74,175,0.257,1,22.46621622
Jim Pankovits,R,70,170,0.25,9,24.38979592
Carmen Fanzone,R,72,200,0.224,20,27.12191358
Gary Allenson,R,71,185,0.221,19,25.79944455
Milt May,L,72,190,0.263,77,25.7658179
Mike Vail,R,73,180,0.279,34,23.74554325
Nick Esasky,R,75,200,0.25,122,24.99555556
Jim Nettles,L,72,186,0.22,16,25.22337963
Chris Cannizzaro,R,72,190,0.235,18,25.7658179
Larry Biittner,L,74,205,0.273,29,26.31756757
Mel Stottlemyre,R,73,178,0.16,7,23.48170388
Roy Smalley,B,73,185,0.257,163,24.40514168
Andy Messersmith,R,73,200,0.17,5,26.38393695
Richie Zisk,R,73,200,0.287,207,26.38393695
Dave Chalk,R,70,175,0.252,15,25.10714286
